,category,jitter,shape_indices,widths
180,straight,1,80,0.6434343434343435
181,straight,1,81,0.6477272727272727
182,straight,1,82,0.6520202020202019
183,straight,1,83,0.6563131313131313
184,straight,1,84,0.6606060606060606
185,straight,1,85,0.6648989898989899
186,straight,1,86,0.6691919191919191
187,straight,1,87,0.6734848484848485
188,straight,1,88,0.6777777777777778
189,straight,1,89,0.682070707070707
190,straight,1,90,0.6863636363636363
191,straight,1,91,0.6906565656565656
192,straight,1,92,0.694949494949495
193,straight,1,93,0.6992424242424242
194,straight,1,94,0.7035353535353535
195,straight,1,95,0.7078282828282828
196,straight,1,96,0.712121212121212
197,straight,1,97,0.7164141414141414
198,straight,1,98,0.7207070707070706
199,straight,1,99,0.725
200,straight,2,0,0.4
201,straight,2,1,0.4042929292929293
202,straight,2,2,0.4085858585858586
203,straight,2,3,0.4128787878787879
204,straight,2,4,0.4171717171717172
205,straight,2,5,0.4214646464646465
206,straight,2,6,0.4257575757575758
207,straight,2,7,0.43005050505050507
208,straight,2,8,0.43434343434343436
209,straight,2,9,0.43863636363636366
210,straight,2,10,0.44292929292929295
211,straight,2,11,0.44722222222222224
212,straight,2,12,0.45151515151515154
213,straight,2,13,0.45580808080808083
214,straight,2,14,0.4601010101010101
215,straight,2,15,0.4643939393939394
216,straight,2,16,0.4686868686868687
217,straight,2,17,0.472979797979798
218,straight,2,18,0.4772727272727273
219,straight,2,19,0.4815656565656566
220,straight,2,20,0.4858585858585859
221,straight,2,21,0.49015151515151517
222,straight,2,22,0.49444444444444446
223,straight,2,23,0.49873737373737376
224,straight,2,24,0.503030303030303
225,straight,2,25,0.5073232323232323
226,straight,2,26,0.5116161616161616
227,straight,2,27,0.5159090909090909
228,straight,2,28,0.5202020202020202
229,straight,2,29,0.5244949494949495
230,straight,2,30,0.5287878787878788
231,straight,2,31,0.533080808080808
232,straight,2,32,0.5373737373737374
233,straight,2,33,0.5416666666666666
234,straight,2,34,0.545959595959596
235,straight,2,35,0.5502525252525252
236,straight,2,36,0.5545454545454546
237,straight,2,37,0.5588383838383838
238,straight,2,38,0.5631313131313131
239,straight,2,39,0.5674242424242424
240,straight,2,40,0.5717171717171717
241,straight,2,41,0.576010101010101
242,straight,2,42,0.5803030303030303
243,straight,2,43,0.5845959595959596
244,straight,2,44,0.5888888888888889
245,straight,2,45,0.5931818181818181
246,straight,2,46,0.5974747474747475
247,straight,2,47,0.6017676767676767
248,straight,2,48,0.606060606060606
249,straight,2,49,0.6103535353535353
250,straight,2,50,0.6146464646464647
251,straight,2,51,0.6189393939393939
252,straight,2,52,0.6232323232323231
253,straight,2,53,0.6275252525252525
254,straight,2,54,0.6318181818181818
255,straight,2,55,0.6361111111111111
256,straight,2,56,0.6404040404040403
257,straight,2,57,0.6446969696969697
258,straight,2,58,0.648989898989899
259,straight,2,59,0.6532828282828282
260,straight,2,60,0.6575757575757575
261,straight,2,61,0.6618686868686868
262,straight,2,62,0.6661616161616162
263,straight,2,63,0.6704545454545454
264,straight,2,64,0.6747474747474747
265,straight,2,65,0.679040404040404
266,straight,2,66,0.6833333333333333
267,straight,2,67,0.6876262626262626
268,straight,2,68,0.6919191919191918
269,straight,2,69,0.6962121212121212
270,straight,2,70,0.7005050505050505
271,straight,2,71,0.7047979797979798
272,straight,2,72,0.709090909090909
273,straight,2,73,0.7133838383838383
274,straight,2,74,0.7176767676767677
275,straight,2,75,0.7219696969696969
276,straight,2,76,0.7262626262626262
277,straight,2,77,0.7305555555555555
278,straight,2,78,0.7348484848484849
279,straight,2,79,0.7391414141414141
280,straight,2,80,0.7434343434343433
281,straight,2,81,0.7477272727272727
282,straight,2,82,0.752020202020202
283,straight,2,83,0.7563131313131313
284,straight,2,84,0.7606060606060605
285,straight,2,85,0.7648989898989899
286,straight,2,86,0.7691919191919192
287,straight,2,87,0.7734848484848484
288,straight,2,88,0.7777777777777777
289,straight,2,89,0.782070707070707
290,straight,2,90,0.7863636363636364
291,straight,2,91,0.7906565656565656
292,straight,2,92,0.7949494949494949
293,straight,2,93,0.7992424242424242
294,straight,2,94,0.8035353535353535
295,straight,2,95,0.8078282828282828
296,straight,2,96,0.812121212121212
297,straight,2,97,0.8164141414141413
298,straight,2,98,0.8207070707070706
299,straight,2,99,0.825
300,straight,3,0,0.5
301,straight,3,1,0.5042929292929292
302,straight,3,2,0.5085858585858586
303,straight,3,3,0.5128787878787878
304,straight,3,4,0.5171717171717172
305,straight,3,5,0.5214646464646464
306,straight,3,6,0.5257575757575758
307,straight,3,7,0.530050505050505
308,straight,3,8,0.5343434343434343
309,straight,3,9,0.5386363636363636
310,straight,3,10,0.5429292929292929
311,straight,3,11,0.5472222222222222
312,straight,3,12,0.5515151515151515
313,straight,3,13,0.5558080808080808
314,straight,3,14,0.5601010101010101
315,straight,3,15,0.5643939393939393
316,straight,3,16,0.5686868686868687
317,straight,3,17,0.5729797979797979
318,straight,3,18,0.5772727272727273
319,straight,3,19,0.5815656565656565
320,straight,3,20,0.5858585858585859
321,straight,3,21,0.5901515151515151
322,straight,3,22,0.5944444444444444
323,straight,3,23,0.5987373737373737
324,straight,3,24,0.603030303030303
325,straight,3,25,0.6073232323232323
326,straight,3,26,0.6116161616161616
327,straight,3,27,0.6159090909090909
328,straight,3,28,0.6202020202020202
329,straight,3,29,0.6244949494949494
330,straight,3,30,0.6287878787878788
331,straight,3,31,0.633080808080808
332,straight,3,32,0.6373737373737374
333,straight,3,33,0.6416666666666666
334,straight,3,34,0.645959595959596
335,straight,3,35,0.6502525252525252
336,straight,3,36,0.6545454545454545
337,straight,3,37,0.6588383838383838
338,straight,3,38,0.6631313131313131
339,straight,3,39,0.6674242424242424
340,straight,3,40,0.6717171717171717
341,straight,3,41,0.676010101010101
342,straight,3,42,0.6803030303030303
343,straight,3,43,0.6845959595959595
344,straight,3,44,0.6888888888888889
345,straight,3,45,0.6931818181818181
346,straight,3,46,0.6974747474747475
347,straight,3,47,0.7017676767676767
348,straight,3,48,0.706060606060606
349,straight,3,49,0.7103535353535353
350,straight,3,50,0.7146464646464645
351,straight,3,51,0.7189393939393939
352,straight,3,52,0.7232323232323232
353,straight,3,53,0.7275252525252525
354,straight,3,54,0.7318181818181817
355,straight,3,55,0.736111111111111
356,straight,3,56,0.7404040404040404
357,straight,3,57,0.7446969696969696
358,straight,3,58,0.7489898989898989
359,straight,3,59,0.7532828282828282
360,straight,3,60,0.7575757575757576
361,straight,3,61,0.7618686868686868
362,straight,3,62,0.766161616161616
363,straight,3,63,0.7704545454545454
364,straight,3,64,0.7747474747474747
365,straight,3,65,0.779040404040404
366,straight,3,66,0.7833333333333332
367,straight,3,67,0.7876262626262626
368,straight,3,68,0.7919191919191919
369,straight,3,69,0.7962121212121211
370,straight,3,70,0.8005050505050504
371,straight,3,71,0.8047979797979797
372,straight,3,72,0.8090909090909091
373,straight,3,73,0.8133838383838383
374,straight,3,74,0.8176767676767676
375,straight,3,75,0.8219696969696969
376,straight,3,76,0.8262626262626263
377,straight,3,77,0.8305555555555555
378,straight,3,78,0.8348484848484847
379,straight,3,79,0.8391414141414141
380,straight,3,80,0.8434343434343434
381,straight,3,81,0.8477272727272727
382,straight,3,82,0.8520202020202019
383,straight,3,83,0.8563131313131312
384,straight,3,84,0.8606060606060606
385,straight,3,85,0.8648989898989898
386,straight,3,86,0.8691919191919191
387,straight,3,87,0.8734848484848484
388,straight,3,88,0.8777777777777778
389,straight,3,89,0.882070707070707
390,straight,3,90,0.8863636363636362
391,straight,3,91,0.8906565656565656
392,straight,3,92,0.8949494949494949
393,straight,3,93,0.8992424242424242
394,straight,3,94,0.9035353535353534
395,straight,3,95,0.9078282828282828
396,straight,3,96,0.912121212121212
