Tick	Time	TriggerCode	Block	Trial	GazeDirX	GazeDirY	GazeDirZ	HeadPosX	HeadPosY	HeadPosZ	HeadDirX	HeadDirY	HeadDirZ	EyeOpenL	EyeOpenR	PupilDiaL	PupilDiaR	PupilSensorLx	PupilSensorLy	PupilSensorRx	PupilSensorRy	PositionLx	PositionLy	PositionRx	PositionRy	GazeAngleX	GazeAngleY	HeadAngleX	HeadAngleY	ViewGazeX	ViewGazeY	ViewGazeZ	ViewFixX	ViewFixY	ViewFixZ	HandRPosX	HandRPosY	HandRPosZ	HandRDirX	HandRDirY	HandRDirZ	FixationPointX	FixationPointY	FixationPointZ
455	40981	0	1	1	0.02421537	-0.04329286	0.998768	-0.05054331	1.672435	-0.07450151	0.04308026	-0.006703688	0.9990491	1	1	2.886154	2.978241	0.4495389	0.4604787	0.4627037	0.4718016	0.4495389	0.4604787	0.4627037	0.4718016	1.38889	-2.48207	2.469103	-0.3841043	0.8980749	-6.179101	0.08781958	0.4931044	0.4852013	2.075379	-0.008939743	1.182219	0.1269001	-0.03496932	0.03925095	0.9986173	0.06064448	1.47623	4.858673
456	40992	0	1	1	0.02419627	-0.04303587	0.9987796	-0.05052233	1.672467	-0.07453692	0.0429541	-0.006572849	0.9990554	1	1	2.886154	2.978241	0.4495389	0.4604787	0.4627037	0.4718016	0.4495389	0.4604787	0.4627037	0.4718016	1.387762	-2.467279	2.461879	-0.3769049	0.8998187	-6.193713	0.08762954	0.493153	0.4851505	2.075408	-0.009159446	1.181957	0.1267388	-0.03661998	0.03695445	0.9986458	0.06002299	1.476919	4.858678
457	41003	0	1	1	0.0241811	-0.04256994	0.9987857	-0.05052078	1.672482	-0.074579	0.04300811	-0.006391505	0.9990543	1	1	2.885147	2.978348	0.4496229	0.4604787	0.4628665	0.4716892	0.4496229	0.4604787	0.4628665	0.4716892	1.386916	-2.440559	2.464978	-0.3663747	0.9028105	-6.213558	0.08737095	0.4931374	0.4850825	2.075432	-0.009545088	1.181615	0.126592	-0.03893029	0.03738735	0.9985422	0.07225529	1.461901	5.247531
458	41014	0	1	1	0.02395096	-0.04298756	0.9987853	-0.05050194	1.672484	-0.07462144	0.04279682	-0.006178272	0.9990647	1	1	2.867096	2.956512	0.4500463	0.4604393	0.4629792	0.4716892	0.4500463	0.4604393	0.4629792	0.4716892	1.373589	-2.464501	2.452799	-0.3538778	0.9053258	-6.238652	0.08704604	0.4932205	0.4850085	2.075463	-0.009646773	1.181527	0.1262045	-0.04161851	0.03768719	0.9984226	0.05972491	1.480437	4.742667
459	41025	0	1	1	0.02373502	-0.04277194	0.9987996	-0.05052215	1.672477	-0.07471335	0.04269497	-0.006223565	0.9990688	1	1	2.867096	2.956512	0.4500463	0.4604393	0.4629792	0.4716892	0.4500463	0.4604393	0.4629792	0.4716892	1.361281	-2.45208	2.446966	-0.3566318	0.907245	-6.22584	0.08720959	0.4932689	0.4850253	2.075563	-0.009978712	1.181255	0.1259286	-0.04442727	0.03760359	0.9983047	0.05915748	1.480246	4.742579
460	41037	0	1	1	0.02378085	-0.04254016	0.9988108	-0.05050546	1.672478	-0.07475221	0.04261207	-0.006082764	0.9990731	1	1	2.886154	2.978241	0.4495389	0.4604787	0.4627037	0.4718016	0.4495389	0.4604787	0.4627037	0.4718016	1.363866	-2.438794	2.442243	-0.3488659	0.9087375	-6.241418	0.08700837	0.4933007	0.4849762	2.075593	-0.01069623	1.180915	0.1258446	-0.04504599	0.03717036	0.9982932	0.05822265	1.47943	4.858603
461	41048	0	1	1	0.02381084	-0.04206521	0.998816	-0.05043077	1.672527	-0.07488501	0.04252365	-0.005824154	0.9990785	1	1	2.885147	2.978348	0.4496229	0.4604787	0.4628665	0.4716892	0.4496229	0.4604787	0.4628665	0.4716892	1.365587	-2.411596	2.437188	-0.3339648	0.9105292	-6.265533	0.08670154	0.4933249	0.484878	2.075703	-0.01100254	1.180732	0.1253339	-0.04461716	0.03627617	0.9983453	0.06965396	1.465035	5.247408
462	41059	0	1	1	0.02374728	-0.04246221	0.9988088	-0.05040205	1.672557	-0.07490575	0.04234174	-0.00570838	0.9990869	1	1	2.866974	2.943649	0.450066	0.4604217	0.4630612	0.4716892	0.450066	0.4604217	0.4630612	0.4716892	1.362	-2.434295	2.426726	-0.3274564	0.9108341	-6.279993	0.08651907	0.4933906	0.4848344	2.075719	-0.01144707	1.180501	0.1250591	-0.04559344	0.03485753	0.9983518	0.06530198	1.47074	5.027065
463	41070	0	1	1	0.02356801	-0.0423478	0.9988179	-0.05035001	1.672651	-0.07495356	0.04231171	-0.005438476	0.9990897	1	1	2.866974	2.943649	0.450066	0.4604217	0.4630612	0.4716892	0.450066	0.4604217	0.4630612	0.4716892	1.351616	-2.427774	2.425031	-0.311533	0.9138404	-6.312431	0.08611239	0.4933984	0.4847229	2.075742	-0.01206988	1.180228	0.124887	-0.04714069	0.03370415	0.9983195	0.06517321	1.472228	5.027072
464	41081	0	1	1	0.0235046	-0.04141797	0.9988503	-0.05036366	1.672645	-0.07501674	0.04217109	-0.005176438	0.999097	1	1	2.867401	2.949081	0.4501042	0.4601207	0.4630612	0.4717189	0.4501042	0.4601207	0.4630612	0.4717189	1.347991	-2.374463	2.416947	-0.2967354	0.9146395	-6.342841	0.08573123	0.4934556	0.4846345	2.075788	-0.01244181	1.179935	0.1244503	-0.04862333	0.03322535	0.9982644	0.04652847	1.503652	4.462593
